,id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude,monument
4164,13651784,14672401,Ana,Entire home/apt,Centro,Universidad,45,43,40.42208,-3.70331,Gran Vía
4165,13653047,1303366,Maria Jose,Entire home/apt,Centro,Embajadores,80,9,40.40679,-3.69913,Paseo del Prado
4166,13653339,79291786,Margarita,Entire home/apt,Centro,Cortes,40,188,40.41374,-3.69939,Barrio de Las Letras
4167,13653401,15872130,Laura,Private room,Arganzuela,Acacias,30,1,40.4002,-3.70072,Puente de Toledo
4168,13653653,79270721,Dayana,Entire home/apt,Centro,Embajadores,80,39,40.41164,-3.70644,Plaza Mayor
4169,13654025,3155360,Lana,Private room,Centro,Universidad,35,0,40.42585,-3.70381,Malasaña
4170,13655938,40709654,Vladimir,Private room,Centro,Embajadores,14,4,40.41332,-3.70636,Plaza Mayor
4171,13661491,79412049,Javier,Entire home/apt,Centro,Justicia,80,0,40.4225,-3.69761,Edificio Metrópolis
4172,13661694,54360476,Victor,Entire home/apt,Centro,Embajadores,110,0,40.41195,-3.70019,Barrio de Las Letras
4173,13661995,79414942,Yasminah,Entire home/apt,Tetuán,Berruguete,115,100,40.46043,-3.70414,Estadio Santiago Bernabéu
4174,13662304,30256733,Juan,Entire home/apt,Centro,Cortes,54,111,40.41281,-3.69703,Barrio de Las Letras
4175,13662913,27574418,Irene,Private room,Centro,Embajadores,20,0,40.41119,-3.7038,Barrio de Las Letras
4176,13663708,173582,Gloria,Private room,Salamanca,Lista,35,8,40.43107,-3.67266,Barrio de Salamanca
4177,13664256,75150135,Estuhome,Shared room,Chamberí,Gaztambide,45,0,40.43681,-3.71666,Templo de Debod
4178,13664679,30097083,Cora,Entire home/apt,Centro,Universidad,88,36,40.42452,-3.70508,Malasaña
4179,13665991,6704015,Tella,Shared room,Centro,Embajadores,18,1,40.40816,-3.70329,Barrio de Las Letras
4180,13667341,79471710,Bruno,Private room,Centro,Universidad,95,0,40.42457,-3.70246,Malasaña
4181,13669166,71159893,Edward,Entire home/apt,Centro,Embajadores,40,2,40.41052,-3.69672,Paseo del Prado
4182,13669483,79493995,Rosa,Entire home/apt,Latina,Puerta del Angel,65,43,40.41272,-3.72917,La Latina
4183,13671856,79480364,Mercedes,Private room,Centro,Universidad,26,49,40.42449,-3.71108,Museo Cerralbo
4184,13672166,69489851,Gustavo,Entire home/apt,Chamberí,Almagro,60,3,40.43574,-3.69589,Malasaña
4185,13673127,33049567,JosÃ©,Entire home/apt,Centro,Palacio,85,20,40.40879,-3.71101,Cripta de la Almudena
4186,13673598,38013355,Erika,Private room,Tetuán,Cuatro Caminos,22,1,40.44821,-3.70086,Estadio Santiago Bernabéu
4187,13674439,4178651,Santiago,Entire home/apt,Centro,Justicia,100,18,40.42743,-3.6982,Malasaña
4188,13674761,40709654,Vladimir,Private room,Centro,Embajadores,35,3,40.41296,-3.70696,Plaza Mayor
