id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
17730587,55523234,Gonzalo,Entire home/apt,Tetuán,Cuatro Caminos,135,25,40.45201,-3.69401
17730772,120900525,Ãngeles,Entire home/apt,Centro,Sol,90,49,40.41584,-3.7055
17731144,118662077,Manuel,Entire home/apt,Chamberí,Rios Rosas,75,88,40.44459,-3.69521
17731247,21345930,Emilio,Entire home/apt,Tetuán,Cuatro Caminos,54,39,40.45569,-3.70234
17731717,27997968,Marta,Entire home/apt,Centro,Embajadores,75,65,40.4099,-3.69616
17733447,95453068,Kamran,Entire home/apt,Salamanca,Goya,49,0,40.4276,-3.67942
17734139,120939440,Juan Carlos,Private room,Puente de Vallecas,Portazgo,27,0,40.38539,-3.65087
17734315,105805233,Pablo,Private room,Ciudad Lineal,Costillares,19,0,40.46849,-3.66862
17735333,31083349,Raquel,Entire home/apt,Centro,Embajadores,60,354,40.41099,-3.69792
17740658,4141570,Erika,Entire home/apt,Fuencarral - El Pardo,La Paz,90,10,40.47516,-3.68885
17742031,118174320,Marcos,Private room,Tetuán,Castillejos,40,0,40.4604,-3.6956
17743685,121037829,Alex,Private room,Carabanchel,Comillas,23,79,40.39838,-3.71518
17745044,32046323,Juan,Entire home/apt,Salamanca,Lista,181,0,40.43451,-3.67902
17747935,121082408,Mirko,Entire home/apt,Centro,Universidad,80,9,40.42427,-3.71
17749296,11223151,Elena,Private room,Barajas,Timón,50,41,40.4735,-3.59774
17749414,27780904,Pedro & Chanel,Entire home/apt,Centro,Universidad,99,33,40.42642,-3.70523
17750115,57121418,Esther,Entire home/apt,Centro,Palacio,115,30,40.41464,-3.71183
17750722,27780904,Pedro & Chanel,Entire home/apt,Salamanca,Recoletos,79,9,40.42203,-3.68533
17750809,16277645,Tarek,Entire home/apt,Centro,Embajadores,190,86,40.41047,-3.7061
17751061,27780904,Pedro & Chanel,Entire home/apt,Chamberí,Arapiles,79,7,40.43551,-3.70641
17751153,25315846,Antonio,Entire home/apt,Centro,Cortes,50,29,40.41316,-3.69951
17757043,121067667,Gavirental SL,Entire home/apt,Centro,Embajadores,202,0,40.41257,-3.7035
17757241,54310958,Be Mate,Entire home/apt,Chamberí,Trafalgar,125,41,40.42885,-3.69947
17759153,121195987,C. B.  Zugaza,Entire home/apt,Centro,Embajadores,155,96,40.40949,-3.69976
17759717,101837171,Charo,Private room,Tetuán,Cuatro Caminos,45,21,40.45446,-3.69555
17762660,88431017,Guillermo,Entire home/apt,Chamartín,Hispanoamérica,96,176,40.4566,-3.67977
17763237,99991901,Arizonica Espacios Para Vivir,Entire home/apt,Centro,Universidad,100,33,40.4246,-3.70783
17763827,66155115,Mattia,Entire home/apt,Centro,Sol,121,225,40.41417,-3.7073
17765189,28608614,Elsa & Gabriel,Entire home/apt,Arganzuela,Palos de Moguer,48,170,40.40187,-3.6941
17765425,119826562,Karen,Entire home/apt,Tetuán,Castillejos,45,92,40.46399,-3.6906
17771677,4808762,Pablo,Private room,Salamanca,Guindalera,25,0,40.4299,-3.66549
